,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
AGE,576.0,75.23055555555555,6.719024543879568,54.4,71.2,75.3,79.8,90.9,-0.3811248719334691,0.2060633326029122
PTEDUCAT,576.0,15.489583333333334,3.0417207658480594,4.0,13.0,16.0,18.0,20.0,-0.5326476650884763,0.05470633233977562
MMSE,576.0,26.47048611111111,2.9106993822309795,18.0,25.0,27.0,29.0,30.0,-0.5825031176391586,-0.6497513817147507
TAU,381.0,302.142782152231,135.91489783811235,80.0,206.5,279.3,370.9,1300.0,1.808666249266143,7.937276941471902
AB4240,513.0,0.2575655339502631,0.07785945713461652,0.0919854280510018,0.2113453815261044,0.2441492726122707,0.2910915934755332,0.6973947895791582,1.9025744939878677,6.668096857816332
PTAU,377.0,29.644535809018567,14.449815756000417,9.23,18.62,27.12,37.44,103.0,1.3368961853837804,2.7693108016753447
ABETA,381.0,867.9902887139108,442.14228667771715,200.0,537.2,692.3,1226.0,1700.0,0.7311087914225417,-0.797736911893999
PLASMA_NFL,576.0,42.63767361111112,26.646352959772248,5.2,26.3,36.9,50.4,250.8,3.1132418608313475,15.042105682851512
PLASMATAU,573.0,2.8481849912739965,1.610681083619904,0.08,1.88,2.67,3.44,17.55,2.9825274959328287,20.407606849095853
TAU_PTAU_ratio,377.0,10.491971640799154,1.0363776572660446,7.861058401855367,9.73568281938326,10.46078865750997,11.14304665045324,14.533333333333331,0.3561581811172461,0.20208215700421484
PLASMA_ratio,573.0,0.08288478888731143,0.0650588517043911,0.0026607538802660754,0.04690431519699813,0.0712290502793296,0.09866666666666667,0.6540983606557378,3.8767795240832856,25.50223003755377
AB4240_TAU_ratio,346.0,0.00103883397898976,0.00059069096831177,0.00021121797485878713,0.0006601409728243234,0.0008650175738987945,0.0013024111786034014,0.004292554827632117,1.9369503073282561,5.832167372652995
ABETA_TAU_ratio,381.0,3.554117557202327,2.4935370519206517,0.46915384615384614,1.5644355644355643,2.4310940499040306,5.585347432024169,10.324763193504735,0.8358797232628797,-0.597328688706591
PTAU_ABETA_ratio,377.0,0.04593417862867171,0.033903686673872814,0.0081913499344692,0.01566203365032919,0.039105956536426074,0.06512641673931996,0.19173492181682797,1.3526388981725865,2.6982372076447607
