iter	MultiClass
0	1.093170477
1	1.087626472
2	1.082224439
3	1.075406361
4	1.070052264
5	1.063637379
6	1.05795813
7	1.051520987
8	1.045967159
9	1.040250505
10	1.035309439
11	1.030170604
12	1.024457645
13	1.02008401
14	1.015433053
15	1.01073184
16	1.005482931
17	1.000771425
18	0.9955842191
19	0.99038102
20	0.9858106633
21	0.9821478262
22	0.9775802853
23	0.972607323
24	0.9680470223
25	0.9637248416
26	0.9593838508
27	0.9554700298
28	0.9515087544
29	0.9477205889
30	0.9435810884
31	0.9394599003
32	0.9350925668
33	0.9308292617
34	0.9270270494
35	0.9229108414
36	0.9194231343
37	0.9147234082
38	0.911485336
39	0.9080904103
40	0.9043310508
41	0.9006755599
42	0.8969057501
43	0.8931973471
44	0.8893522261
45	0.8865082574
46	0.8831498565
47	0.8792231801
48	0.8757529259
49	0.8721477757
50	0.8678070375
51	0.8645454579
52	0.8615491332
53	0.858372836
54	0.8551648566
55	0.8516635425
56	0.8486535045
57	0.8457489447
58	0.8428295254
59	0.8395590901
60	0.8364225804
61	0.8332450061
62	0.8299316336
63	0.8273048874
64	0.8243409747
65	0.8213909321
66	0.8184559601
67	0.8151941042
68	0.8121040585
69	0.8091148561
70	0.8061307885
71	0.8034599587
72	0.8003904352
73	0.7978976117
74	0.7953761688
75	0.792989959
76	0.7901455483
77	0.7876455969
78	0.7855924262
79	0.7832333483
80	0.7808925972
81	0.7786801765
82	0.7767050723
83	0.7743909748
84	0.7719109531
85	0.7696608676
86	0.766859995
87	0.7646977684
88	0.762858048
89	0.7602326927
90	0.758575606
91	0.7561144269
92	0.7540078317
93	0.7515505674
94	0.7493983572
95	0.7475214751
96	0.7453511373
97	0.7431634014
98	0.7407895496
99	0.7388300584
100	0.7368692723
101	0.7347543277
102	0.7324385524
103	0.7300551075
104	0.7278937304
105	0.7256132595
106	0.7240622214
107	0.721971991
108	0.7198935281
109	0.7176505881
110	0.7158112118
111	0.7135930267
112	0.7116140927
113	0.7101869016
114	0.7081910047
115	0.7061956493
116	0.7043322302
117	0.7029005873
118	0.7013165911
119	0.6989758629
120	0.6974009405
121	0.6955367861
122	0.693922229
123	0.6923099382
124	0.6908175382
125	0.6890587323
126	0.6870689181
127	0.685551929
128	0.6835591878
129	0.6815738011
130	0.6801013438
131	0.6784568717
132	0.6768773862
133	0.6752980386
134	0.6734257516
135	0.6719546024
136	0.6704120717
137	0.6685184029
138	0.666921223
139	0.6650406146
140	0.6633595735
141	0.6616390668
142	0.6597498345
143	0.658424982
144	0.6572019537
145	0.6556726966
146	0.6545013647
147	0.6530222044
148	0.6514505402
149	0.6499202536
150	0.6485193858
151	0.6474012216
152	0.6460514946
153	0.6447066234
154	0.6435033087
155	0.6419353695
156	0.6409194822
157	0.6394462511
158	0.6380576372
159	0.6366557288
160	0.6351062809
161	0.6335889761
162	0.6323703043
163	0.6313125134
164	0.6298432839
165	0.6285140889
166	0.6272853603
167	0.625940557
168	0.624749103
169	0.6232006978
170	0.6217162505
171	0.6202757777
172	0.6189527025
173	0.6174990396
174	0.6165170519
175	0.6152880921
176	0.6141486544
177	0.6130061015
178	0.6121039612
179	0.6109112569
180	0.6095177273
181	0.6082778568
182	0.6071046139
183	0.6060114182
184	0.6047622199
185	0.6037900886
186	0.6025891281
187	0.6017382554
188	0.6008513764
189	0.5997009907
190	0.5983737864
191	0.5973593546
192	0.5963433944
193	0.5951822724
194	0.5944372221
195	0.5933550153
196	0.5926623982
197	0.5913071138
198	0.5904497984
199	0.5896852763
200	0.5885836155
201	0.5874069826
202	0.5862399523
203	0.5851792021
204	0.5843082848
205	0.5832875234
206	0.582452371
207	0.5813986958
208	0.5802936943
209	0.5790623532
210	0.5779688418
211	0.5771043228
212	0.5761220338
213	0.575394706
214	0.5744587846
215	0.5737432621
216	0.5727829855
217	0.5718727272
218	0.5707191648
219	0.5696196418
220	0.5684981928
221	0.5675200583
222	0.5664871688
223	0.5655305708
224	0.5644871547
225	0.5638416842
226	0.5629127089
227	0.5621832834
228	0.5611513328
229	0.56023862
230	0.5592868492
231	0.5582605783
232	0.5574842998
233	0.5567902901
234	0.5558828862
235	0.5549982133
236	0.5541640872
237	0.5532477592
238	0.5525299578
239	0.5516200148
240	0.5508169757
241	0.5499535821
242	0.5489984599
243	0.5481861192
244	0.5473834611
245	0.5465671068
246	0.5456914797
247	0.5448639903
248	0.5439732501
249	0.5430456933
250	0.5422812153
251	0.5415480272
252	0.5406689324
253	0.5401555927
254	0.5394635989
255	0.5388877042
256	0.5381239966
257	0.537292632
258	0.5365341296
259	0.5356625918
260	0.5347673374
261	0.5339138645
262	0.5333805853
263	0.5327719954
264	0.5320168242
265	0.5311305425
266	0.5305638938
267	0.5299050533
268	0.5292041213
269	0.5284321365
270	0.5277998836
271	0.527225813
272	0.5264305647
273	0.5256113205
274	0.5249895168
275	0.5244319162
276	0.5239192745
277	0.5232351696
278	0.5224169452
279	0.5219175139
280	0.521366458
281	0.5208060485
282	0.5202330243
283	0.5195675743
284	0.5188060356
285	0.5180756005
286	0.517445679
287	0.5167799857
288	0.5161193716
289	0.5154414461
290	0.514734494
291	0.5140448794
292	0.5131638432
293	0.5124605776
294	0.5119312866
295	0.5111854579
296	0.5105098744
297	0.5100994879
298	0.5095942752
299	0.5087440007
300	0.5079576761
301	0.5073739655
302	0.5069661876
303	0.5062992581
304	0.5056067704
305	0.504902299
306	0.5043150931
307	0.5035248446
