iter	Passed	Remaining
0	143	71643
1	149	37209
2	153	25456
3	157	19542
4	161	15946
5	164	13569
6	168	11873
7	172	10602
8	176	9612
9	179	8803
10	183	8154
11	187	7608
12	190	7149
13	194	6752
14	198	6410
15	201	6104
16	205	5837
17	208	5594
18	212	5383
19	216	5185
20	219	5012
21	223	4861
22	227	4712
23	230	4575
24	231	4398
25	235	4286
26	238	4182
27	242	4089
28	246	3998
29	249	3912
30	253	3833
31	257	3763
32	261	3695
33	264	3629
34	268	3568
35	272	3510
36	275	3453
37	279	3399
38	283	3345
39	286	3297
40	290	3249
41	293	3204
42	297	3160
43	300	3118
44	304	3080
45	308	3041
46	311	3003
47	315	2966
48	318	2933
49	322	2901
50	325	2868
51	329	2836
52	332	2803
53	335	2773
54	339	2744
55	342	2717
56	346	2692
57	350	2667
58	353	2642
59	356	2617
60	360	2591
61	363	2566
62	366	2544
63	370	2521
64	373	2499
65	377	2479
66	380	2458
67	384	2439
68	387	2420
69	391	2402
70	394	2383
71	397	2364
72	401	2346
73	404	2329
74	407	2311
75	411	2294
76	414	2278
77	418	2263
78	421	2247
79	425	2231
80	428	2215
81	431	2199
82	435	2186
83	438	2172
84	442	2158
85	445	2145
86	449	2133
87	453	2121
88	456	2108
89	460	2096
90	463	2083
91	466	2070
92	470	2057
93	473	2044
94	476	2031
95	480	2022
96	484	2011
97	487	2000
98	490	1987
99	494	1976
100	497	1965
101	500	1954
102	504	1943
103	507	1932
104	510	1922
105	514	1912
106	517	1902
107	521	1892
108	524	1882
109	527	1871
110	531	1861
111	534	1851
112	537	1842
113	541	1833
114	544	1823
115	548	1814
116	551	1804
117	554	1795
118	558	1786
119	561	1779
120	565	1770
121	568	1761
122	572	1753
123	575	1744
124	578	1736
125	582	1728
126	585	1720
127	589	1712
128	592	1704
129	596	1696
130	599	1688
131	602	1680
132	606	1672
133	609	1665
134	613	1658
135	616	1650
136	620	1643
137	623	1636
138	627	1629
139	631	1623
140	634	1615
141	637	1608
142	641	1601
143	644	1594
144	648	1587
145	651	1579
146	654	1572
147	658	1565
148	661	1558
149	665	1552
150	668	1545
151	672	1539
152	676	1533
153	679	1527
154	683	1520
155	686	1513
156	689	1507
157	693	1500
158	696	1494
159	700	1488
160	703	1481
161	707	1475
162	710	1469
163	714	1463
164	718	1457
165	721	1452
166	725	1446
167	729	1440
168	732	1434
169	736	1429
170	740	1424
171	743	1418
172	747	1412
173	750	1406
174	754	1400
175	757	1394
176	760	1388
177	764	1382
178	767	1376
179	771	1371
180	774	1365
181	778	1359
182	781	1353
183	784	1348
184	788	1342
185	791	1336
186	795	1331
187	798	1325
188	801	1319
189	804	1313
190	808	1307
191	811	1301
192	814	1296
193	818	1290
194	821	1285
195	825	1279
196	827	1273
197	830	1266
198	832	1259
199	835	1253
200	838	1247
201	841	1241
202	843	1234
203	846	1227
204	849	1221
205	852	1216
206	855	1210
207	858	1205
208	862	1200
209	864	1194
210	867	1187
211	870	1182
212	873	1176
213	875	1170
214	878	1164
215	880	1158
216	883	1151
217	885	1145
218	888	1139
219	890	1133
220	892	1127
221	895	1121
222	897	1115
223	900	1110
224	903	1104
225	906	1099
226	909	1093
227	912	1088
228	914	1082
229	917	1076
230	919	1071
231	922	1065
232	924	1059
233	927	1053
234	930	1048
235	932	1043
236	935	1037
237	937	1032
238	940	1027
239	942	1021
240	945	1015
241	947	1010
242	950	1004
243	952	999
244	955	994
245	957	988
246	960	983
247	963	978
248	966	974
249	969	969
250	972	964
251	975	960
252	978	955
253	981	950
254	983	945
255	986	939
256	988	934
257	991	930
258	994	925
259	996	920
260	999	915
261	1002	910
262	1005	906
263	1008	901
264	1011	896
265	1013	891
266	1016	886
267	1018	881
268	1021	877
269	1023	872
270	1026	867
271	1028	862
272	1031	857
273	1034	852
274	1036	848
275	1039	843
276	1041	838
277	1044	833
278	1046	829
279	1049	824
280	1051	819
281	1054	814
282	1056	810
283	1058	805
284	1061	800
285	1064	796
286	1067	792
287	1069	787
288	1072	782
289	1074	778
290	1077	773
291	1080	769
292	1082	764
293	1084	760
294	1087	755
295	1089	751
296	1092	746
297	1095	742
298	1097	737
299	1100	733
300	1103	729
301	1106	725
302	1108	720
303	1111	716
304	1113	712
305	1116	707
306	1118	703
307	1121	698
308	1124	694
309	1126	690
310	1129	686
311	1131	681
312	1134	677
313	1136	673
314	1139	668
315	1141	664
316	1144	660
317	1146	656
318	1149	652
319	1151	647
320	1154	643
321	1157	639
322	1159	635
323	1162	631
324	1164	627
325	1167	622
326	1169	618
327	1171	614
328	1174	610
329	1177	606
330	1179	602
331	1182	598
332	1184	594
333	1187	590
334	1189	586
335	1193	582
336	1195	578
337	1198	574
338	1200	570
339	1203	566
340	1206	562
341	1208	558
342	1211	554
343	1213	550
344	1216	546
345	1218	542
346	1220	538
347	1223	534
348	1225	530
349	1228	526
350	1230	522
351	1232	518
352	1235	514
353	1238	510
354	1241	507
355	1243	503
356	1246	499
357	1248	495
358	1250	491
359	1253	487
360	1256	483
361	1258	479
362	1261	476
363	1263	472
364	1266	468
365	1268	464
366	1271	460
367	1274	456
368	1276	453
369	1278	449
370	1281	445
371	1283	441
372	1285	437
373	1288	434
374	1290	430
375	1293	426
376	1295	422
377	1298	419
378	1300	415
379	1302	411
380	1305	407
381	1307	403
382	1310	400
383	1312	396
384	1315	392
385	1317	389
386	1320	385
387	1322	381
388	1324	377
389	1327	374
390	1329	370
391	1331	366
392	1333	363
393	1336	359
394	1338	355
395	1340	352
396	1343	348
397	1345	344
398	1347	341
399	1350	337
400	1352	333
401	1355	330
402	1357	326
403	1359	323
404	1362	319
405	1364	315
406	1367	312
407	1369	308
408	1371	305
409	1373	301
410	1376	298
411	1378	294
412	1381	290
413	1383	287
414	1386	283
415	1388	280
416	1391	276
417	1393	273
418	1395	269
419	1398	266
420	1400	262
421	1403	259
422	1405	255
423	1408	252
424	1410	248
425	1413	245
426	1415	242
427	1418	238
428	1420	235
429	1422	231
430	1425	228
431	1427	224
432	1430	221
433	1432	217
434	1434	214
435	1436	210
436	1439	207
437	1441	204
438	1443	200
439	1446	197
440	1448	193
441	1450	190
442	1453	186
443	1455	183
444	1457	180
445	1460	176
446	1462	173
447	1464	170
448	1467	166
449	1469	163
450	1471	159
451	1474	156
452	1477	153
453	1479	149
454	1481	146
455	1484	143
456	1486	139
457	1489	136
458	1491	133
459	1494	129
460	1496	126
461	1499	123
462	1502	120
463	1504	116
464	1506	113
465	1508	110
466	1511	106
467	1513	103
468	1515	100
469	1517	96
470	1520	93
471	1522	90
472	1525	87
473	1527	83
474	1530	80
475	1532	77
476	1534	73
477	1537	70
478	1539	67
479	1542	64
480	1544	61
481	1546	57
482	1549	54
483	1551	51
484	1554	48
485	1556	44
486	1559	41
487	1561	38
488	1563	35
489	1566	31
490	1568	28
491	1570	25
492	1573	22
493	1575	19
494	1577	15
495	1579	12
496	1582	9
497	1585	6
498	1587	3
499	1589	0
