section,model_name,timestamp,metric,value
Header,CatBoost,2025-11-19T17:39:48.405009,N/A,N/A
Overall Metrics,CatBoost,,accuracy,0.7500
Overall Metrics,CatBoost,,macro_precision,0.7891
Overall Metrics,CatBoost,,macro_recall,0.7490
Overall Metrics,CatBoost,,macro_f1,0.7548
Overall Metrics,CatBoost,,weighted_f1,0.7550
Overall Metrics,CatBoost,,micro_f1,0.7500
Overall Metrics,CatBoost,,macro_auc,0.9171
Overall Metrics,CatBoost,,brier,nan
Overall Metrics,CatBoost,,logloss,0.5659
Bootstrap CI (95%),CatBoost,,accuracy_mean,0.7466
Bootstrap CI (95%),CatBoost,,accuracy_ci,"[0.6724, 0.8235]"
Bootstrap CI (95%),CatBoost,,macro_precision_mean,0.7861
Bootstrap CI (95%),CatBoost,,macro_precision_ci,"[0.7220, 0.8505]"
Bootstrap CI (95%),CatBoost,,macro_recall_mean,0.7460
Bootstrap CI (95%),CatBoost,,macro_recall_ci,"[0.6704, 0.8281]"
Bootstrap CI (95%),CatBoost,,macro_f1_mean,0.7491
Bootstrap CI (95%),CatBoost,,macro_f1_ci,"[0.6749, 0.8220]"
Bootstrap CI (95%),CatBoost,,weighted_f1_mean,0.7520
Bootstrap CI (95%),CatBoost,,weighted_f1_ci,"[0.6780, 0.8278]"
Bootstrap CI (95%),CatBoost,,SCD_precision_mean,0.8883
Bootstrap CI (95%),CatBoost,,SCD_precision_ci,"[0.7656, 0.9730]"
Bootstrap CI (95%),CatBoost,,SCD_recall_mean,0.7781
Bootstrap CI (95%),CatBoost,,SCD_recall_ci,"[0.6316, 0.9286]"
Bootstrap CI (95%),CatBoost,,SCD_f1_mean,0.8271
Bootstrap CI (95%),CatBoost,,SCD_f1_ci,"[0.7114, 0.9326]"
Bootstrap CI (95%),CatBoost,,SCD_auc_mean,0.9588
Bootstrap CI (95%),CatBoost,,SCD_auc_ci,"[0.9230, 0.9857]"
Bootstrap CI (95%),CatBoost,,MCI_precision_mean,0.5853
Bootstrap CI (95%),CatBoost,,MCI_precision_ci,"[0.4634, 0.7159]"
Bootstrap CI (95%),CatBoost,,MCI_recall_mean,0.8199
Bootstrap CI (95%),CatBoost,,MCI_recall_ci,"[0.7094, 0.9277]"
Bootstrap CI (95%),CatBoost,,MCI_f1_mean,0.6803
Bootstrap CI (95%),CatBoost,,MCI_f1_ci,"[0.5888, 0.7630]"
Bootstrap CI (95%),CatBoost,,MCI_auc_mean,0.8315
Bootstrap CI (95%),CatBoost,,MCI_auc_ci,"[0.7571, 0.9182]"
Bootstrap CI (95%),CatBoost,,AD_precision_mean,0.8847
Bootstrap CI (95%),CatBoost,,AD_precision_ci,"[0.7490, 0.9860]"
Bootstrap CI (95%),CatBoost,,AD_recall_mean,0.6399
Bootstrap CI (95%),CatBoost,,AD_recall_ci,"[0.5055, 0.7796]"
Bootstrap CI (95%),CatBoost,,AD_f1_mean,0.7399
Bootstrap CI (95%),CatBoost,,AD_f1_ci,"[0.6379, 0.8620]"
Bootstrap CI (95%),CatBoost,,AD_auc_mean,0.9529
Bootstrap CI (95%),CatBoost,,AD_auc_ci,"[0.9203, 0.9854]"
Uncertainty Signals,CatBoost,,entropy_mean,0.6663
Uncertainty Signals,CatBoost,,margin_mean,0.4110
Error Summary,CatBoost,,total_samples,116
Error Summary,CatBoost,,error_rate,0.2500
