section,model_name,timestamp,metric,value
Header,Ensemble,2025-11-19T17:39:45.108609,N/A,N/A
Overall Metrics,Ensemble,,accuracy,0.7759
Overall Metrics,Ensemble,,macro_precision,0.7755
Overall Metrics,Ensemble,,macro_recall,0.7762
Overall Metrics,Ensemble,,macro_f1,0.7753
Overall Metrics,Ensemble,,weighted_f1,0.7752
Overall Metrics,Ensemble,,micro_f1,0.7759
Overall Metrics,Ensemble,,macro_auc,0.9194
Overall Metrics,Ensemble,,brier,nan
Overall Metrics,Ensemble,,logloss,0.5279
Bootstrap CI (95%),Ensemble,,accuracy_mean,0.7735
Bootstrap CI (95%),Ensemble,,accuracy_ci,"[0.6983, 0.8534]"
Bootstrap CI (95%),Ensemble,,macro_precision_mean,0.7734
Bootstrap CI (95%),Ensemble,,macro_precision_ci,"[0.6985, 0.8422]"
Bootstrap CI (95%),Ensemble,,macro_recall_mean,0.7735
Bootstrap CI (95%),Ensemble,,macro_recall_ci,"[0.7012, 0.8471]"
Bootstrap CI (95%),Ensemble,,macro_f1_mean,0.7704
Bootstrap CI (95%),Ensemble,,macro_f1_ci,"[0.6961, 0.8424]"
Bootstrap CI (95%),Ensemble,,weighted_f1_mean,0.7732
Bootstrap CI (95%),Ensemble,,weighted_f1_ci,"[0.6964, 0.8562]"
Bootstrap CI (95%),Ensemble,,SCD_precision_mean,0.8983
Bootstrap CI (95%),Ensemble,,SCD_precision_ci,"[0.7838, 0.9747]"
Bootstrap CI (95%),Ensemble,,SCD_recall_mean,0.8639
Bootstrap CI (95%),Ensemble,,SCD_recall_ci,"[0.7466, 0.9744]"
Bootstrap CI (95%),Ensemble,,SCD_f1_mean,0.8790
Bootstrap CI (95%),Ensemble,,SCD_f1_ci,"[0.7996, 0.9599]"
Bootstrap CI (95%),Ensemble,,SCD_auc_mean,0.9586
Bootstrap CI (95%),Ensemble,,SCD_auc_ci,"[0.9206, 0.9869]"
Bootstrap CI (95%),Ensemble,,MCI_precision_mean,0.6682
Bootstrap CI (95%),Ensemble,,MCI_precision_ci,"[0.5323, 0.8218]"
Bootstrap CI (95%),Ensemble,,MCI_recall_mean,0.6386
Bootstrap CI (95%),Ensemble,,MCI_recall_ci,"[0.5064, 0.8108]"
Bootstrap CI (95%),Ensemble,,MCI_f1_mean,0.6494
Bootstrap CI (95%),Ensemble,,MCI_f1_ci,"[0.5334, 0.7669]"
Bootstrap CI (95%),Ensemble,,MCI_auc_mean,0.8404
Bootstrap CI (95%),Ensemble,,MCI_auc_ci,"[0.7566, 0.9094]"
Bootstrap CI (95%),Ensemble,,AD_precision_mean,0.7538
Bootstrap CI (95%),Ensemble,,AD_precision_ci,"[0.6197, 0.8919]"
Bootstrap CI (95%),Ensemble,,AD_recall_mean,0.8182
Bootstrap CI (95%),Ensemble,,AD_recall_ci,"[0.6664, 0.9077]"
Bootstrap CI (95%),Ensemble,,AD_f1_mean,0.7828
Bootstrap CI (95%),Ensemble,,AD_f1_ci,"[0.6624, 0.8793]"
Bootstrap CI (95%),Ensemble,,AD_auc_mean,0.9523
Bootstrap CI (95%),Ensemble,,AD_auc_ci,"[0.9133, 0.9847]"
Uncertainty Signals,Ensemble,,entropy_mean,0.6074
Uncertainty Signals,Ensemble,,margin_mean,0.4593
Error Summary,Ensemble,,total_samples,116
Error Summary,Ensemble,,error_rate,0.2241
