Metric,Mean,CI Low,CI High,Std
Accuracy,0.7466379310344827,0.6724137931034483,0.8234913793103448,0.04200134121067847
Macro Precision,0.7860915567886022,0.7219877794619174,0.8504727772227773,0.03383577402804701
Macro Recall,0.7459589560783602,0.6704333617504973,0.8281208325455347,0.04286374659982177
Macro F1,0.7491268718069428,0.6749360060229626,0.8219529468198331,0.04050511880434751
Weighted F1,0.7520247546735898,0.6780463846091139,0.8278414148123021,0.041453869953344616
SCD PRECISION,0.8882861467136546,0.7656372549019608,0.9729670329670329,0.054533031276267394
SCD RECALL,0.7781087659795602,0.6315972222222223,0.9286159954622802,0.07647075419249737
SCD F1,0.8271050669853466,0.7114087301587302,0.9326136363636364,0.053441632376491396
SCD AUC,0.9588269727203557,0.9229718114883778,0.9857001250781737,0.01764469802352241
MCI PRECISION,0.5852597870768799,0.46342838196286473,0.7159161490683229,0.06402810379947979
MCI RECALL,0.8198586804368645,0.709375,0.9277439024390244,0.06040459539485584
MCI F1,0.6803413037569297,0.5888339920948618,0.7630290287574607,0.050562398675026446
MCI AUC,0.8314659895009716,0.7571006944444444,0.9181869369369369,0.04111271633827068
AD PRECISION,0.8847287365752722,0.7490434782608696,0.9860294117647056,0.05719869823187456
AD RECALL,0.6399094218186554,0.5055232558139535,0.7796006944444445,0.07714418888444241
AD F1,0.7399342446785522,0.6378571428571429,0.8620095440084834,0.06097824708544654
AD AUC,0.9529212751620721,0.9203301981501596,0.9854169518985031,0.017586435269949397
