Metric,Mean,CI Low,CI High,Std
Accuracy,0.7735344827586207,0.6982758620689655,0.853448275862069,0.04322147633580843
Macro Precision,0.773434693482308,0.6985301099450275,0.8422086720867208,0.04085109751371044
Macro Recall,0.7735347023353792,0.7012016459377463,0.8470734889149524,0.04123428716840267
Macro F1,0.7703769967720165,0.6960720934838582,0.842380128733006,0.040638129250631184
Weighted F1,0.7731776576869156,0.6963799009370326,0.8562497329404198,0.0434192384905675
SCD PRECISION,0.8982698761755488,0.7837837837837838,0.9746951219512195,0.05068494501229142
SCD RECALL,0.8638537727947211,0.7466346153846154,0.9743572841133816,0.0649974738008293
SCD F1,0.8789740361349321,0.7995908201387654,0.9598912167606769,0.044503803962119344
SCD AUC,0.9586268695249559,0.920623578229,0.9869312070043778,0.01841095174106227
MCI PRECISION,0.6682267923914504,0.5322889610389611,0.8217613636363635,0.07966332401020679
MCI RECALL,0.6385779135525592,0.5064189189189189,0.8107692307692306,0.0794791303287278
MCI F1,0.6493978834555668,0.5334325396825397,0.7669063926940639,0.06160464360037306
MCI AUC,0.8404445623665252,0.7566377186499138,0.9094073380217959,0.04151687481454828
AD PRECISION,0.7538074118799245,0.6196843853820598,0.8918918918918919,0.0743303641724427
AD RECALL,0.8181724206588571,0.6663567073170732,0.9077414772727272,0.06389313895373018
AD F1,0.7827590707255508,0.6623983739837398,0.8793367346938775,0.05776775730053791
AD AUC,0.9522731859559869,0.913293586269196,0.9846580919959085,0.018125726482138393
