Metric,Mean,CI Low,CI High,Std
Accuracy,0.7113793103448276,0.6202586206896551,0.789008620689655,0.0499029974627471
Macro Precision,0.7012154433591417,0.612161312896607,0.7849247609573696,0.05138474847168195
Macro Recall,0.7104235217446774,0.6152492090024059,0.7971976747007093,0.04735277704815866
Macro F1,0.7003166973251814,0.614640390215359,0.7830695999197509,0.04864022628953882
Weighted F1,0.7037653674453398,0.6055612870805369,0.7843523135165842,0.05160579946235746
SCD PRECISION,0.8072923426900364,0.6959786821705426,0.898780487804878,0.06072186743308824
SCD RECALL,0.8417476108746967,0.7223776223776224,0.9671833598304186,0.06773115322632677
SCD F1,0.822241922680512,0.7213734939759036,0.907202842377261,0.050888859372500886
SCD AUC,0.9647814413789453,0.9323875923273514,0.9883481028466649,0.01606439793777232
MCI PRECISION,0.5797482924686519,0.40625,0.7660266457680249,0.10457574870690746
MCI RECALL,0.4745077571529478,0.2956279809220986,0.6801564722617354,0.08900025232731956
MCI F1,0.518156252673723,0.35338860850757026,0.6623287671232876,0.08457245440103256
MCI AUC,0.7936414581769252,0.7041936360556788,0.8641281265737787,0.04676728806726841
AD PRECISION,0.7166056949187367,0.5977659574468085,0.8818367346938775,0.07389722464800066
AD RECALL,0.8150151972063879,0.6520833333333333,0.9315625,0.0675762367090346
AD F1,0.7605519166213089,0.6437464788732394,0.8650883838383838,0.059506115707197244
AD AUC,0.9342080550883771,0.8821826501349527,0.9745470328282827,0.022858473368826234
