Metric,Mean,CI Low,CI High,Std
Accuracy,0.7336206896551724,0.6420258620689655,0.8148706896551723,0.04695704769447007
Macro Precision,0.7292000628274974,0.6478342881188149,0.8099613821138211,0.04495288206212661
Macro Recall,0.7348506896941701,0.6557571619393928,0.8026974090617384,0.040454692872192034
Macro F1,0.7265161684263246,0.6437251798261627,0.8023072952821266,0.04339497788105131
Weighted F1,0.7283122861068325,0.6390851218353036,0.8115167377430627,0.04873585327444698
SCD PRECISION,0.7991487197197579,0.6824468085106383,0.9183139534883719,0.06370630137034891
SCD RECALL,0.7847200700785418,0.6492905405405406,0.9286159954622802,0.07618540946863162
SCD F1,0.7894059046513848,0.6707792207792208,0.8817204301075269,0.0558101515978712
SCD AUC,0.9483270856023353,0.8962719298245614,0.9814758730785688,0.021134909264114786
MCI PRECISION,0.6345592739639541,0.4775,0.7698484848484848,0.08036176211035218
MCI RECALL,0.5479378805038128,0.39166666666666666,0.7087837837837837,0.08002092800689922
MCI F1,0.5836240359320741,0.4495907558979297,0.6916233766233766,0.062464461955411305
MCI AUC,0.8209659019903524,0.7401081855136734,0.8940566182881172,0.04107918518841481
AD PRECISION,0.7538921947987801,0.6451041666666667,0.8830711354309165,0.07143239328314979
AD RECALL,0.8718941185001553,0.7564106789716546,0.9726163663663664,0.05434159210532798
AD F1,0.8065185646955156,0.7202965708989806,0.9036585365853659,0.051001536886322536
AD AUC,0.9467065517575484,0.9066390871233085,0.9803646048023943,0.018957505810106783
