Rank,Feature,Mean |SHAP|,Relative Importance (%)
1,Feature_4,0.6780863798130135,52.80211255502573
2,Feature_10,0.14741995140921452,11.479488600423267
3,Feature_9,0.07347323081537868,5.721309141122726
4,Feature_5,0.07271882215750972,5.662563866108844
5,Feature_6,0.0641415814823494,4.994660128437179
6,Feature_11,0.05515330636889648,4.294749426283049
7,Feature_3,0.054916418178010684,4.276303108394232
8,Feature_0,0.04057741095244238,3.1597346357159166
9,Feature_2,0.03980322307482966,3.0994491666821395
10,Feature_8,0.034068797980786346,2.6529134917766277
11,Feature_1,0.013830846960774256,1.0769983879568885
12,Feature_7,0.010013156404035092,0.7797174920734057
