sample_id,true_label,pred_ens,ai_correct,review_risk_score,risk_1_inv_conf,risk_2_margin,risk_3_entropy,risk_4_disagreement,risk_5_missing_fraction,risk_6_critical_missing,risk_7_multimodal_mismatch
0,2,2,1,0.24266336776221967,0.0965088223991288,0.8351062396093296,0.3755781624903385,0.0,0.0,0,0
1,2,2,1,0.17791445237740908,0.0327872971306884,0.9440466864403808,0.1641446293369355,0.0,0.0,0,0
2,0,0,1,0.23517264780893438,0.0882280711439895,0.8337328430843884,0.3299897720321819,0.0,0.0,0,0
3,1,1,1,0.2558596174948628,0.1124569644864137,0.8253918381509708,0.4289458384336765,0.0,0.0,0,0
4,2,2,1,0.4262972754080048,0.2552468556644833,0.5030913131856226,0.6210917748202485,0.0,0.0,0,0
5,2,2,1,0.5167056117685616,0.3420374480532062,0.4390505682783441,0.8658665248817217,0.0,0.0,0,0
6,0,0,1,0.4616468580968367,0.2860135094415247,0.4390687879281822,0.6454768643134009,0.0,0.0,0,0
7,0,1,0,0.3944699368410087,0.2296723403806225,0.6002085393009474,0.6703261824067612,0.0,0.0,0,0
8,1,2,0,0.6534296220573041,0.461270878954496,0.1180986417594355,0.8276639156525487,0.3333333333333333,0.0,0,0
9,0,0,1,0.3749610666064497,0.2118969858838912,0.5878642236321426,0.5616005639723548,0.0,0.0,0,0
10,1,1,1,0.5862028702537951,0.3935640127049781,0.2804727825530418,0.8508336018153331,0.3333333333333333,0.0,0,0
11,2,2,1,0.6805736667213442,0.5262910742959765,0.1906170925628921,1.0550479037844092,0.6666666666666667,0.0,0,0
12,0,1,0,0.33032431064580725,0.1749724913552036,0.6965178902761135,0.5649536856225108,0.0,0.0,0,0
13,2,1,0,0.6665135663857483,0.4800824109359523,0.0559969029832359,0.7630496110777727,0.3333333333333333,0.0,0,0
14,2,2,1,0.4855148687068951,0.3040708559501235,0.4259661841468596,0.7210121992955094,0.0,0.0,0,0
15,1,1,1,0.32225652229672014,0.1718701909577739,0.7225885645080561,0.5734578069728522,0.0,0.0,0,0
16,0,1,0,0.3067009973192012,0.1563869047347742,0.7408245022554808,0.5341597098404288,0.0,0.0,0,0
17,2,2,1,0.2221231631911654,0.0758606536053118,0.857400642880649,0.2964137078206659,0.0,0.0,0,0
18,1,2,0,0.594950946733305,0.4031768001310695,0.218068333793279,0.766422166384214,0.3333333333333333,0.0,0,0
19,2,2,1,0.5126235660871418,0.3274719480165197,0.3858886141403968,0.7555579095933171,0.0,0.0,0,0
20,2,2,1,0.2057310576571147,0.0602249238443614,0.8921102823005718,0.2584230745965303,0.0,0.0,0,0
21,2,2,1,0.5974574908266458,0.4142162097475798,0.3059899046833502,0.9394083862629644,0.3333333333333333,0.0,0,0
22,1,1,1,0.6840858277125127,0.4986418711552259,0.0256386286831645,0.7861264195956157,0.3333333333333333,0.0,0,0
23,2,2,1,0.27604779583924216,0.1257693410255621,0.7691554524651385,0.4344988748732942,0.0,0.0,0,0
24,0,0,1,0.7264827374330037,0.5497930907939073,0.0137412166123775,0.9679041501495652,0.3333333333333333,0.0,0,0
25,0,0,1,0.5075312086780551,0.3236592374418746,0.410488486773585,0.781480773999566,0.0,0.0,0,0
26,2,2,1,0.2866324197018495,0.1368876701373732,0.7652752887809895,0.4811137484481853,0.0,0.0,0,0
27,1,2,0,0.4945637510996933,0.3121628034089635,0.442420054675281,0.7828233350166577,0.3333333333333333,0.0,0,0
28,1,0,0,0.5616046609574927,0.3722361027659239,0.283900264787422,0.7604314963546096,0.0,0.0,0,0
29,2,2,1,0.47596809638214027,0.294622347823041,0.4484845007943039,0.7189851141515577,0.3333333333333333,0.0,0,0
30,0,0,1,0.34246449043257815,0.183567785451681,0.6506546422044003,0.535180687308647,0.0,0.0,0,0
31,0,0,1,0.5355968682965371,0.3480420428987535,0.3248350245384524,0.7253210282396202,0.3333333333333333,0.0,0,0
32,1,2,0,0.7617832133945652,0.641907423028377,0.0055073054029357,1.0941266368536158,0.6666666666666667,0.0,0,0
33,2,2,1,0.5664701799014572,0.3779943472779931,0.2639869732042569,0.7412477967078601,0.0,0.0,0,0
34,2,2,1,0.4669807718680213,0.2888880519633273,0.4756522213325779,0.7394753101610922,0.0,0.0,0,0
35,1,2,0,0.5158066707436569,0.3314152793653514,0.3593696256146286,0.7166289901991059,0.0,0.0,0,0
36,1,1,1,0.6663872500841608,0.4786926042268374,0.0633902464067378,0.7777353979944729,0.3333333333333333,0.0,0,0
37,1,1,1,0.6607223866201958,0.4842152671686045,0.1997217079158615,1.0053253215614153,0.3333333333333333,0.0,0,0
38,1,1,1,0.7135373350039238,0.5303335439162824,0.0145164378221243,0.9077653030366624,0.3333333333333333,0.0,0,0
39,0,0,1,0.2562797197861265,0.1077917415171967,0.7967139326371003,0.3801363557636654,0.0,0.0,0,0
40,1,2,0,0.6880759996952798,0.5000935595986403,0.0442949215637857,0.8432231431365603,0.3333333333333333,0.0,0,0
41,1,1,1,0.5934866302968419,0.401474927383848,0.2588576692475297,0.8460394453663296,0.0,0.0,0,0
42,2,2,1,0.6852233907440562,0.4975056955674679,0.042027153908394,0.8249720959489144,0.3333333333333333,0.0,0,0
43,0,0,1,0.49936438533715216,0.3160031404256612,0.4131706058514282,0.7534781477904652,0.0,0.0,0,0
44,1,1,1,0.36903500906625275,0.2079162905139678,0.6371333942012994,0.6291732426233723,0.0,0.0,0,0
45,1,1,1,0.6135728226482593,0.4217896770572474,0.2323679267846232,0.8797301096935176,0.0,0.0,0,0
46,0,0,1,0.297550559314615,0.1447021455430315,0.7290580732106089,0.4686521631322167,0.0,0.0,0,0
47,1,1,1,0.7055342335161486,0.5215297382226314,0.0509038531981161,0.9381988959088728,0.3333333333333333,0.0,0,0
48,1,1,1,0.4273425959691629,0.2549548263204716,0.5154232346271935,0.650237077440159,0.0,0.0,0,0
49,1,1,1,0.4681904107267137,0.2911546082672084,0.4837453123074946,0.7590861895854064,0.0,0.0,0,0
50,0,0,1,0.36450782928359543,0.2032626053773185,0.6389387193905123,0.6129292712153649,0.0,0.0,0,0
51,0,0,1,0.22377345533296214,0.0774440771349965,0.8538364259275733,0.2997450156273509,0.0,0.0,0,0
52,2,2,1,0.22108117991955223,0.0764636338405579,0.8732512112204626,0.319181134561135,0.0,0.0,0,0
53,1,1,1,0.72048914581349,0.551775493110521,0.0635588683388741,1.0261617646521104,0.3333333333333333,0.0,0,0
54,2,2,1,0.3183645567509658,0.162829930649916,0.6924907628949052,0.5012545276363112,0.0,0.0,0,0
55,1,1,1,0.6424002942795028,0.4534615247831076,0.1092971116991795,0.758759539272649,0.3333333333333333,0.0,0,0
56,2,1,0,0.6056204419220813,0.4272677499909026,0.2976349842816557,0.96075334340183,0.0,0.0,0,0
57,0,0,1,0.23260189161342307,0.0858025697442119,0.8390106916256764,0.3248315645839743,0.0,0.0,0,0
58,0,0,1,0.331548604902736,0.1743976841634915,0.6656734089131455,0.512660186269588,0.0,0.0,0,0
59,0,0,1,0.22024260897783532,0.0740693463979323,0.8624115084510899,0.2943614331768657,0.0,0.0,0,0
60,2,1,0,0.49673380855825155,0.3163875264796415,0.3791743813905456,0.6749871255412062,0.0,0.0,0,0
61,2,1,0,0.6043203091957697,0.4114329337894216,0.208655947178399,0.7886365793963126,0.3333333333333333,0.0,0,0
62,1,1,1,0.40296483685260187,0.2356570854317675,0.5804076641387015,0.6700360976931101,0.0,0.0,0,0
63,1,1,1,0.5203775969914888,0.3361231232701579,0.4003189669539511,0.8137707624744082,0.0,0.0,0,0
64,2,2,1,0.6313053365344042,0.441258922242158,0.2217813835369161,0.9275354618894028,0.3333333333333333,0.0,0,0
65,1,1,1,0.40826755736815507,0.2444333865086001,0.591614434727049,0.7110219374135875,0.0,0.0,0,0
66,2,2,1,0.2266725826088679,0.0816013150665212,0.8628550314507414,0.3337750305692281,0.0,0.0,0,0
67,1,1,1,0.5847589069218798,0.3943464642315529,0.3003068242248717,0.8812395669416412,0.3333333333333333,0.0,0,0
68,0,0,1,0.5725089507687647,0.3828189692458937,0.252021670565331,0.7369990361685862,0.3333333333333333,0.0,0,0
69,0,0,1,0.326521861583793,0.1700658084234612,0.6742045722113508,0.5051638846410266,0.0,0.0,0,0
70,0,0,1,0.3328957574323677,0.1753534579188483,0.6674284554698884,0.5225856381043341,0.0,0.0,0,0
71,0,0,1,0.45218229184931663,0.2758162044875822,0.4905087466272734,0.7068734803287249,0.0,0.0,0,0
72,2,1,0,0.6945957682380737,0.5075532478919519,0.0667373584523769,0.9172395120640832,0.3333333333333333,0.0,0,0
73,1,2,0,0.4842444381452904,0.304552387963767,0.4072780100309954,0.6784868326077387,0.0,0.0,0,0
74,2,2,1,0.2857645753012281,0.134324715195132,0.7499606088046242,0.4485665298808006,0.0,0.0,0,0
75,2,2,1,0.48309401613091396,0.3009394861438341,0.4461150275881096,0.7437127064349602,0.3333333333333333,0.0,0,0
76,2,1,0,0.6120660800449697,0.4198275546862983,0.1993575271447875,0.8100697892455629,0.0,0.0,0,0
77,0,0,1,0.451241412091142,0.2749470530231201,0.4805807925940971,0.6838722525341265,0.0,0.0,0,0
78,1,0,0,0.3218636889453103,0.1661690798213578,0.680257434962818,0.4943575343401872,0.0,0.0,0,0
79,0,0,1,0.3235668370487879,0.1672820422828964,0.6863806964413596,0.5146442700869833,0.0,0.0,0,0
80,1,1,1,0.7156073124882543,0.5335018503622992,0.0206029274962596,0.9291554204066932,0.3333333333333333,0.0,0,0
81,2,1,0,0.6544437535967939,0.4652441195555225,0.0908598595596616,0.7773662308104466,0.3333333333333333,0.0,0,0
82,2,2,1,0.22366511324997257,0.0777948101886691,0.8626891113355053,0.3157640756148419,0.0,0.0,0,0
83,2,2,1,0.1919192116490453,0.0468621178952576,0.919058570408206,0.2166313318234153,0.0,0.0,0,0
84,1,0,0,0.5833659505749118,0.3926658081726019,0.2439272999014168,0.7740450680838763,0.0,0.0,0,0
85,2,2,1,0.18530016403146693,0.03987870965465,0.9276309861487108,0.1866722417458617,0.0,0.0,0,0
86,1,2,0,0.6845551683593007,0.4990377450829329,0.1144314633697927,0.9594902952398828,0.3333333333333333,0.0,0,0
87,0,0,1,0.4024289644062843,0.2348548363085872,0.5446436351658774,0.5990991422862328,0.0,0.0,0,0
88,0,0,1,0.42555736913384856,0.2533968574690654,0.5198104219386478,0.6511550298302007,0.0,0.0,0,0
89,0,0,1,0.38080256683144653,0.2169640369536928,0.6137141332210104,0.637244701070587,0.0,0.0,0,0
90,1,2,0,0.6507583401039011,0.4595556773376756,0.1112024525237546,0.8015762281727382,0.3333333333333333,0.0,0,0
91,0,0,1,0.2933422211651237,0.1411995109364802,0.7295488845478829,0.4480692173146232,0.0,0.0,0,0
92,0,1,0,0.6116685433002377,0.4277942202415882,0.2736893660425312,0.9447986593431794,0.0,0.0,0,0
93,1,0,0,0.6960485176381906,0.5088431166318007,0.0406595970837246,0.8742183973389193,0.3333333333333333,0.0,0,0
94,0,0,1,0.26458824498688965,0.1154264450355077,0.7801395776597093,0.3940118920487903,0.0,0.0,0,0
95,2,2,1,0.41270351217753404,0.2455530871727149,0.5752414086066796,0.7006656690950741,0.0,0.0,0,0
96,0,0,1,0.28788340212735236,0.1374484960476204,0.7603720185530619,0.4785771606887667,0.0,0.0,0,0
97,1,2,0,0.5467669384543896,0.3584060446408946,0.3597437878695478,0.8383967636952909,0.3333333333333333,0.0,0,0
98,1,1,1,0.5702651534987291,0.3929118956569746,0.3574054423600689,0.9277757882804972,0.0,0.0,0,0
99,0,0,1,0.6670459246965016,0.4768351637789813,0.0816705292127716,0.818032678163704,0.3333333333333333,0.0,0,0
100,2,2,1,0.197558336052809,0.0541323746438515,0.9157358010731604,0.2476813311546813,0.0,0.0,0,0
101,1,1,1,0.486739306820853,0.3053661368459072,0.4392120999544093,0.7513891888261566,0.0,0.0,0,0
102,2,2,1,0.6920785142055137,0.5052679927318842,0.0806640319061913,0.9316530605772592,0.3333333333333333,0.0,0,0
103,0,0,1,0.5043249759564468,0.3202494877900026,0.3983868272565421,0.7454701820878091,0.0,0.0,0,0
104,1,1,1,0.412109956486424,0.2426325617228162,0.5602864433668144,0.6712694469019342,0.0,0.0,0,0
105,0,0,1,0.5064051421385682,0.323416998496454,0.4193433751084146,0.7933066243018465,0.0,0.0,0,0
106,1,1,1,0.7195647317663275,0.552610835739449,0.0703636128891233,1.0330670984826833,0.3333333333333333,0.0,0,0
107,2,2,1,0.19900158279398378,0.0534310191402516,0.9010697557780516,0.2309379784570484,0.0,0.0,0,0
108,0,0,1,0.2876861389029383,0.1361308684104272,0.740413687719987,0.4400342221767879,0.0,0.0,0,0
109,0,1,0,0.5175680753484676,0.3334407255423108,0.4033814496354862,0.8082806271007978,0.0,0.0,0,0
110,2,2,1,0.19331610653857148,0.0478368262850283,0.9123124374777832,0.213670769091883,0.0,0.0,0,0
111,0,0,1,0.631817632207396,0.4410040713401667,0.1392729137564648,0.7714369201110899,0.3333333333333333,0.0,0,0
112,0,0,1,0.5596097488819437,0.370722826701962,0.3422586572152628,0.8573553306805006,0.3333333333333333,0.0,0,0
113,1,1,1,0.6800747666981303,0.4940131851543722,0.0345154319210178,0.7846857952080442,0.3333333333333333,0.0,0,0
114,0,0,1,0.3500936472298462,0.1900198160466679,0.6390468963846588,0.5482095350547551,0.0,0.0,0,0
115,2,2,1,0.43393051355553147,0.2614741381753962,0.4923788042139148,0.6329405148068914,0.0,0.0,0,0
