iter	MultiClass
0	1.093241896
1	1.087486961
2	1.082244878
3	1.075834834
4	1.069761816
5	1.06383689
6	1.058652599
7	1.052782845
8	1.04769355
9	1.042038001
10	1.036930371
11	1.032497143
12	1.028011402
13	1.022916275
14	1.018206596
15	1.014011867
16	1.009049015
17	1.004942552
18	1.000140481
19	0.9952203837
20	0.990368515
21	0.9862916757
22	0.9815385056
23	0.9777015195
24	0.9735496837
25	0.9695406049
26	0.9655398247
27	0.9618339031
28	0.9574871189
29	0.9541442814
30	0.9500931704
31	0.9460001372
32	0.9414106076
33	0.9376056285
34	0.9338631283
35	0.9298255515
36	0.9264823044
37	0.9222268768
38	0.918511567
39	0.9151217079
40	0.9117237969
41	0.9082706745
42	0.9047743931
43	0.9011536131
44	0.8979325774
45	0.8948091449
46	0.8914780532
47	0.8877482762
48	0.8852011003
49	0.8818911335
50	0.8784452582
51	0.8749335088
52	0.8719390807
53	0.8691149913
54	0.8660320192
55	0.8626585217
56	0.8595195158
57	0.8565975397
58	0.8537795418
59	0.8504440242
60	0.8474980732
61	0.8445901269
62	0.8413405082
63	0.8389271704
64	0.8366835129
65	0.8334518006
66	0.8303634048
67	0.827212184
68	0.824293354
69	0.8213125892
70	0.8183100452
71	0.8156141606
72	0.8129257996
73	0.810958909
74	0.8080140348
75	0.805458767
76	0.8029146613
77	0.8000632206
78	0.7977366016
79	0.7950531407
80	0.7926176753
81	0.7904806952
82	0.7885316164
83	0.7860370083
84	0.7838162454
85	0.7817205706
86	0.779072525
87	0.7769967529
88	0.774509041
89	0.7721097955
90	0.7701952072
91	0.7677638507
92	0.7654288705
93	0.7632263748
94	0.7611100749
95	0.7593241542
96	0.757122231
97	0.7550693358
98	0.752921239
99	0.7511832849
