iter	Passed	Remaining
0	13	6768
1	24	6115
2	37	6191
3	49	6089
4	59	5878
5	68	5663
6	78	5535
7	88	5439
8	97	5340
9	106	5211
10	115	5124
11	123	5027
12	132	4978
13	141	4908
14	150	4855
15	158	4788
16	167	4753
17	175	4705
18	184	4675
19	193	4638
20	201	4589
21	210	4564
22	218	4532
23	227	4504
24	229	4356
25	246	4491
26	256	4485
27	265	4482
28	277	4499
29	286	4490
30	296	4478
31	305	4463
32	314	4444
33	322	4417
34	330	4393
35	339	4373
36	347	4344
37	355	4326
38	364	4303
39	372	4289
40	381	4268
41	389	4244
42	397	4226
43	406	4214
44	415	4197
45	423	4176
46	430	4147
47	436	4109
48	442	4068
49	448	4036
50	454	4000
51	460	3964
52	465	3926
53	471	3894
54	477	3861
55	483	3829
56	489	3800
57	494	3769
58	501	3745
59	506	3717
60	512	3688
61	518	3663
62	524	3636
63	530	3610
64	536	3587
65	541	3562
66	547	3539
67	553	3515
68	559	3493
69	565	3474
70	571	3452
71	577	3429
72	583	3412
73	588	3389
74	594	3369
75	600	3350
76	605	3328
77	612	3314
78	618	3297
79	624	3279
80	630	3262
81	636	3242
82	641	3225
83	648	3209
84	653	3190
85	659	3173
86	664	3156
87	670	3137
88	677	3126
89	682	3109
90	688	3095
91	695	3084
92	700	3067
93	706	3051
94	712	3037
95	718	3023
96	724	3012
97	730	2997
98	736	2982
99	743	2975
100	749	2961
101	756	2950
102	761	2936
103	767	2922
104	774	2912
105	780	2901
106	786	2889
107	791	2874
108	797	2860
109	803	2848
110	808	2835
111	814	2822
112	821	2813
113	827	2800
114	832	2787
115	839	2777
116	845	2766
117	851	2755
118	856	2741
119	862	2731
120	869	2722
121	874	2710
122	880	2697
123	886	2689
124	892	2676
125	897	2665
126	903	2653
127	908	2640
128	914	2629
129	919	2618
130	925	2606
131	931	2597
132	936	2585
133	942	2573
134	948	2563
135	954	2553
136	959	2542
137	965	2532
138	970	2520
139	976	2511
140	982	2500
141	987	2489
142	993	2481
143	999	2470
144	1005	2460
145	1010	2449
146	1015	2439
147	1021	2429
148	1027	2420
149	1032	2410
150	1038	2400
151	1044	2391
152	1050	2381
153	1055	2371
154	1061	2362
155	1066	2352
156	1072	2343
157	1077	2333
158	1083	2324
159	1089	2314
160	1094	2304
161	1101	2297
162	1107	2288
163	1112	2279
164	1118	2271
165	1124	2262
166	1130	2253
167	1136	2246
168	1143	2239
169	1149	2230
170	1155	2222
171	1160	2213
172	1166	2204
173	1172	2197
174	1178	2189
175	1185	2182
176	1191	2174
177	1197	2165
178	1202	2157
179	1208	2148
180	1213	2139
181	1220	2131
182	1226	2123
183	1231	2115
184	1239	2109
185	1244	2100
186	1249	2092
187	1257	2086
188	1262	2078
189	1269	2071
190	1275	2062
191	1280	2054
192	1287	2048
193	1293	2040
194	1299	2032
195	1305	2024
196	1311	2016
197	1318	2010
198	1323	2002
199	1329	1993
200	1336	1988
201	1342	1981
202	1349	1973
203	1354	1966
204	1360	1957
205	1366	1950
206	1372	1942
207	1378	1934
208	1384	1927
209	1390	1919
210	1396	1912
211	1401	1904
212	1407	1895
213	1413	1888
214	1418	1880
215	1424	1873
216	1431	1866
217	1436	1858
218	1442	1850
219	1449	1844
220	1454	1836
221	1460	1828
222	1466	1821
223	1471	1813
224	1478	1806
225	1483	1799
226	1489	1791
227	1495	1784
228	1501	1776
229	1506	1768
230	1513	1761
231	1518	1754
232	1524	1747
233	1530	1739
234	1536	1732
235	1542	1725
236	1548	1718
237	1553	1710
238	1560	1704
239	1566	1696
240	1572	1689
241	1577	1682
242	1584	1675
243	1590	1668
244	1595	1660
245	1601	1653
246	1607	1646
247	1613	1639
248	1619	1632
249	1624	1624
250	1631	1618
251	1636	1610
252	1642	1603
253	1648	1596
254	1654	1589
255	1660	1583
256	1667	1576
257	1673	1570
258	1679	1562
259	1685	1555
260	1691	1549
261	1697	1542
262	1703	1535
263	1712	1530
264	1719	1525
265	1727	1520
266	1734	1513
267	1753	1518
268	1768	1518
269	1781	1517
270	1795	1517
271	1806	1514
272	1818	1512
273	1828	1507
274	1837	1503
275	1846	1498
276	1856	1494
277	1865	1489
278	1874	1484
279	1883	1479
280	1892	1474
281	1901	1470
282	1910	1465
283	1919	1460
284	1928	1455
285	1938	1450
286	1946	1444
287	1955	1439
288	1964	1433
289	1972	1428
290	1981	1422
291	1989	1417
292	2000	1413
293	2009	1407
294	2016	1401
295	2024	1395
296	2031	1388
297	2039	1382
298	2047	1376
299	2055	1370
300	2061	1362
301	2067	1355
302	2073	1348
303	2081	1341
304	2088	1335
305	2095	1328
306	2101	1321
307	2109	1314
308	2114	1307
309	2120	1299
310	2126	1292
311	2131	1284
312	2137	1276
313	2143	1269
314	2149	1262
315	2155	1255
316	2160	1247
317	2166	1239
318	2172	1232
319	2177	1225
320	2184	1217
321	2190	1210
322	2196	1203
323	2202	1196
324	2208	1189
325	2214	1181
326	2220	1174
327	2225	1167
328	2233	1160
329	2239	1153
330	2244	1145
331	2250	1138
332	2256	1131
333	2263	1125
334	2269	1117
335	2275	1110
336	2281	1103
337	2287	1096
338	2293	1089
339	2298	1081
340	2304	1074
341	2310	1067
342	2315	1060
343	2321	1052
344	2327	1045
345	2333	1038
346	2338	1031
347	2345	1024
348	2351	1017
349	2357	1010
350	2363	1003
351	2369	996
352	2376	989
353	2381	982
354	2387	975
355	2393	968
356	2399	961
357	2404	953
358	2411	947
359	2417	940
360	2422	932
361	2428	925
362	2434	918
363	2441	912
364	2447	905
365	2452	898
366	2459	891
367	2465	884
368	2470	877
369	2477	870
370	2482	863
371	2489	856
372	2495	849
373	2501	842
374	2508	836
375	2514	829
376	2520	822
377	2526	815
378	2532	808
379	2539	801
380	2545	795
381	2551	788
382	2558	781
383	2563	774
384	2570	767
385	2576	760
386	2581	753
387	2589	747
388	2596	740
389	2602	734
390	2608	727
391	2613	720
392	2620	713
393	2625	706
394	2631	699
395	2637	692
396	2643	685
397	2649	679
398	2655	672
399	2662	665
400	2668	658
401	2674	651
402	2679	644
403	2684	638
404	2690	631
405	2696	624
406	2702	617
407	2708	610
408	2714	603
409	2720	597
410	2726	590
411	2732	583
412	2738	576
413	2744	570
414	2750	563
415	2755	556
416	2761	549
417	2767	542
418	2773	536
419	2780	529
420	2786	522
421	2793	516
422	2799	509
423	2805	502
424	2811	496
425	2817	489
426	2824	482
427	2830	476
428	2836	469
429	2842	462
430	2848	455
431	2854	449
432	2859	442
433	2865	435
434	2872	429
435	2877	422
436	2883	415
437	2889	408
438	2894	402
439	2900	395
440	2906	388
441	2913	382
442	2918	375
443	2924	368
444	2930	362
445	2936	355
446	2942	348
447	2947	342
448	2954	335
449	2959	328
450	2965	322
451	2971	315
452	2976	308
453	2982	302
454	2987	295
455	2993	288
456	2999	282
457	3005	275
458	3010	268
459	3016	262
460	3023	255
461	3029	249
462	3035	242
463	3042	236
464	3048	229
465	3054	222
466	3060	216
467	3065	209
468	3073	203
469	3078	196
470	3084	189
471	3092	183
472	3097	176
473	3103	170
474	3109	163
475	3115	157
476	3121	150
477	3127	143
478	3133	137
479	3139	130
480	3145	124
481	3151	117
482	3157	111
483	3163	104
484	3169	98
485	3175	91
486	3182	84
487	3188	78
488	3193	71
489	3199	65
490	3205	58
491	3211	52
492	3218	45
493	3223	39
494	3229	32
495	3235	26
496	3241	19
497	3248	13
498	3254	6
499	3259	0
